用户id,用户性别,用户职业,用户教育程度,用户婚姻状态,用户户口类型,收入次数,总收入,支出次数,总支出,工资收入次数,总工资,浏览次数,平均上期账单金额,平均上期还款金额,信用卡额度,平均本期账单余额,平均本期账单最低还款额,平均消费笔数,平均本期账单金额,平均调整金额,平均循环利息,平均可用余额,平均预借现金额度,是否逾期
20236,1,2,3,3,3,380.0,4651.641979999997,548.0,6380.669086000009,0.0,0.0,84,16.753229210191115,16.17152828662419,20.628401995223008,17.375080863057367,15.08014087579622,4.509554140127388,19.30276571337582,-0.4584347468152865,0.9614214283439495,0.03510608598726114,10.747832181528695,0
22557,1,4,3,4,1,571.0,7083.267980999997,2023.0,22050.09488299982,0.0,0.0,3003,9.9847695,16.0076805,19.971270999999998,19.8583515,17.557114,0.0,19.918422,0.0,0.0,15.988656500000001,0.0,1
6024,1,2,4,3,2,149.0,1909.4026110000004,597.0,6605.557156000015,2.0,23.316995999999996,343,20.27760527777778,15.732216500000002,21.09362988888889,20.281553055555563,18.930848166666667,3.111111111111111,0.0,0.0,0.0,0.0,20.400482888888885,0
43107,1,2,2,3,1,44.0,590.950113,74.0,911.2884000000001,33.0,474.4443950000001,210,12.094227216216215,14.396555999999999,18.429865756756755,18.293985783783782,14.279738135135133,0.918918918918919,13.463764243243242,0.0,0.0,2.5526078648648647,6.273566891891892,0
20237,1,2,3,3,4,232.0,2972.184388,519.0,6002.199702999998,7.0,106.88597999999999,1683,18.845518485714287,13.861697171428572,19.01119374285715,18.139455514285714,14.973903342857144,2.0285714285714285,14.570920857142855,0.0,2.176080942857143,1.5770584857142858,9.196393285714285,1
5265,1,2,3,1,4,413.0,5074.885891,679.0,7530.100244000008,17.0,230.72196399999996,2640,19.408090700000002,19.194995900000002,21.561539700000004,19.2531886,17.0126251,0.1,19.189318199999995,-1.5860797,1.7175864,0.0,20.9377074,0
1708,1,2,3,3,2,361.0,4363.650247000006,1278.0,13313.758355000075,0.0,0.0,3948,-1.0887707999999998,-11.884444133333334,16.021879733333332,12.377242533333336,14.8918016,2.1333333333333333,20.064600066666667,0.0,0.0,0.0,15.467361466666665,1
8531,1,2,4,3,1,80.0,962.5483110000002,147.0,1706.9592360000004,1.0,14.019028,494,21.688408379310346,21.70215158620689,21.76303,21.636877448275865,18.869586241379317,0.0,21.65169113793103,0.0,0.0,0.0,21.069883,0
2286,1,2,3,1,2,650.0,8992.208461999984,1042.0,11948.639216000012,0.0,0.0,208,14.344824327272727,16.01314401818182,19.33640165454546,15.080601654545452,14.581298981818183,0.12727272727272726,16.319792945454545,0.0,0.0,2.7703946909090913,11.350951309090911,0
2287,1,2,3,1,2,542.0,6737.855108999991,852.0,10112.789688000013,0.0,0.0,80,16.662105980392163,17.086135647058825,19.567788882352943,19.5117861372549,16.97043231372549,1.6862745098039216,15.519106529411767,0.0,8.465051313725493,0.0,9.450060294117645,1
1266,1,4,4,1,2,124.0,1583.7093730000004,126.0,1510.27094,0.0,0.0,224,0.0,0.0,0.0,17.93273842857143,16.496914714285715,0.0,0.0,0.0,0.0,0.0,0.0,0
18369,1,2,4,2,2,515.0,6701.925799000001,1485.0,17516.657765999982,12.0,178.643135,522,17.10232214285714,16.930108742857147,13.010040342857138,18.273181828571428,16.84631102857143,0.6,16.703476742857138,-0.5675974285714286,0.8815183142857143,0.0,3.566430857142857,0
18370,1,3,4,3,1,9.0,104.966813,16.0,191.46887599999997,0.0,0.0,7353,19.543126199999996,15.589644400000001,19.971270999999998,19.642354599999997,18.4087274,3.8,0.0,0.0,0.0,0.0,19.278123,1
1847,1,2,4,1,3,71.0,798.1112190000001,192.0,1874.025672000001,0.0,0.0,695,18.985331866666666,8.6727246,19.971270999999998,19.041780866666667,18.353421066666666,6.733333333333333,0.0,0.0,0.0,0.0,11.566873799999998,1
10543,1,2,4,1,4,16.0,188.844641,105.0,1042.3509509999997,0.0,0.0,810,9.440871,1.6490817368421051,16.51755452631579,11.203343947368422,12.350783210526316,0.0,0.0,0.0,0.0,0.0,15.46259621052631,1
2630,1,3,1,3,2,47.0,555.1944189999999,59.0,681.7920849999999,0.0,0.0,13090,13.023736238095237,12.463286342857145,11.96696885714286,19.186962495238085,17.29860174285714,0.7428571428571429,7.164369009523809,-0.1938156857142857,3.137985038095238,2.1289577714285715,6.66753857142857,0
8532,1,2,2,3,1,87.0,1255.789571,173.0,2290.9693790000015,2.0,24.419284,500,17.970389203389836,17.13479262711863,20.570974146892667,20.17979089830509,16.994761553672323,0.384180790960452,19.542100802259878,0.45157149152542375,0.16958864971751414,2.851421971751413,10.709270926553655,0
40813,1,2,4,1,4,343.0,4210.368823000004,697.0,7982.192390000019,0.0,0.0,1032,17.385235076923074,18.052149666666665,18.812545615384625,18.670465871794875,16.352606923076916,0.5128205128205128,18.154560897435896,0.0,0.0,0.0,17.849013358974364,0
2718,1,2,3,2,1,409.0,5760.116980999999,896.0,9801.75283500001,0.0,0.0,980,15.63774835,17.869289099999996,17.583608500000004,20.67497485,18.193906500000004,1.4,15.512620400000003,0.0,0.0,0.0,2.9211078,1
19103,1,2,3,3,4,360.0,4010.694886000002,839.0,8330.635568000029,11.0,122.65073300000002,855,10.507934619047617,17.121186095238095,19.69980757142857,15.272936190476194,15.188032380952382,0.09523809523809523,13.002953428571427,0.0,0.0,0.0,5.706077428571429,0
21728,1,2,3,1,3,52.0,648.4748649999999,129.0,1469.2362129999997,5.0,74.318959,814,12.528494741176464,11.980164470588234,19.12001815294114,18.06598209411764,16.723619488235283,0.6235294117647059,7.967530494117643,0.0,0.0,2.2610679588235296,11.38356524117647,0
2719,1,2,2,3,3,185.0,2436.5460880000014,632.0,6946.681373000011,0.0,0.0,900,9.6893686631579,11.959149284210524,14.773910547368413,18.114710326315794,16.511251610526326,4.6421052631578945,12.19847942105263,-0.4112913894736842,0.5719438315789475,2.661142252631579,4.489220757894737,0
19104,1,2,2,1,1,635.0,7891.708433999987,1776.0,19830.36291999987,1.0,12.840374,374,-10.092201761904766,11.51291425714285,21.357564999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.664418000000015,1
25347,1,2,3,1,3,461.0,5658.734329999995,824.0,9532.390349000005,0.0,0.0,6384,19.84976718791949,17.12771367785234,20.14542827516778,20.10647363758389,17.97477587919463,2.469798657718121,2.61820544295302,0.0,0.0,0.0,18.975584093959768,0
2539,1,2,2,1,1,126.0,1494.2100149999999,278.0,3091.1755080000016,10.0,124.79891500000001,952,17.762139212121212,17.237659090909094,19.55165507575759,8.118105318181819,11.075711196969705,0.0,17.376183424242434,0.0,1.0984136666666668,0.0,19.499143939393942,0
30660,1,2,3,1,3,214.0,2757.005604000003,320.0,3641.6071470000006,0.0,0.0,513,18.813511767955802,19.841741801104966,20.337672955801054,19.009130900552485,2.3726058950276276,0.6298342541436464,20.209955441988953,0.0,0.0,0.33271601104972376,2.351480635359115,0
4692,1,2,2,2,1,393.0,5322.205707999997,517.0,6323.700368000005,0.0,0.0,384,21.069795999999997,21.118929999999995,21.069883,21.069817999999998,18.767231,0.0,21.118951999999997,0.0,0.0,0.0,21.069883,0
3522,1,3,3,3,1,207.0,2824.996611000001,478.0,5411.414238000006,0.0,0.0,512,15.135416925925925,15.756716981481484,20.41429701851852,17.87693211111111,17.253390555555555,2.7037037037037037,14.410798185185186,0.0,0.0,3.915129592592592,10.353066055555555,1
40815,1,3,3,3,4,73.0,1019.0491560000003,195.0,2324.2162190000017,0.0,0.0,1062,16.873977081632653,18.928986163265307,21.35756500000001,18.09616118367347,18.37971802040817,0.0,20.306388081632647,0.0,0.0,1.2480366326530612,20.66441799999998,0
6267,1,3,3,2,3,246.0,2811.7336640000026,434.0,4840.189030999995,0.0,0.0,98,13.042963953488371,10.235115186046512,17.456079976744192,19.117749790697676,17.159346581395354,2.1627906976744184,8.979069116279069,0.0,0.0,0.8856853488372092,5.1336618837209285,0
1129,1,2,4,1,3,90.0,1200.8737690000005,245.0,2546.5826630000015,0.0,0.0,594,15.496441588235298,15.77744311764706,20.562359058823535,20.17913617647059,18.056674176470587,0.11764705882352941,16.363824529411765,0.0,0.0,6.93139705882353,17.621709705882353,0
30662,1,2,3,3,1,31.0,415.445889,47.0,599.7060210000001,10.0,147.840855,952,19.04759146153846,17.279984846153848,20.759728,20.644474692307693,18.83331976923077,0.6153846153846154,0.0,0.0,0.0,0.0,20.066580999999992,0
8237,1,2,3,1,1,55.0,655.206524,154.0,1697.9300150000001,12.0,173.141691,256,2.9454832051282054,3.039626025641026,3.5870309487179486,13.53932108974359,13.066817871794873,0.0,3.275103243589744,0.0,0.0,0.0,2.7187096538461533,0
3005,2,2,3,2,4,259.0,3216.459148999995,681.0,7652.762504000017,0.0,0.0,336,14.416688633333338,14.926372791666669,12.410324549999988,18.645201966666676,16.917898500000003,0.7,15.062113208333338,0.0,0.0,0.0,8.83795110833334,0
20886,1,3,3,3,2,555.0,7256.696827999994,1078.0,12922.906511000003,0.0,0.0,1342,20.568018388888888,20.741109444444444,21.402616666666674,20.86187905555555,19.026211833333335,4.166666666666667,12.828046444444444,0.0,2.7593488888888893,0.0,11.480232222222222,1
1710,1,4,3,1,3,292.0,3752.365413000005,548.0,5571.215321000012,0.0,0.0,285,0.0,0.0,19.460444999999996,18.883481625,17.507515,3.75,0.0,0.0,0.0,0.0,0.0,1
11936,1,2,4,3,1,149.0,2146.513592,554.0,6266.84225000001,12.0,175.39918799999998,1080,14.785740475409836,14.521644918032788,20.839096999999995,20.223122229508196,18.4999172295082,0.9180327868852459,14.929406786885249,0.0,0.0,6.090876491803278,15.013762180327864,0
2720,1,2,2,1,3,310.0,4159.895677,506.0,6185.275913000002,0.0,0.0,448,9.744891652601986,10.018473036568214,10.893883954992976,19.77314470323491,18.527602111111122,1.2292545710267229,9.879244150492264,1.108509333333333,3.2245362067510546,0.6790005302391,9.453797066104087,0
5122,1,2,3,3,4,426.0,5861.70100899999,741.0,9296.521177000008,15.0,167.44471000000001,742,9.38198675,10.570131464285714,10.959103178571425,16.037042714285715,15.598770964285709,0.17857142857142858,9.177002107142856,0.0,0.0,0.0,10.325849964285712,0
27317,2,3,3,2,1,753.0,10696.587399000004,965.0,13243.443906999988,0.0,0.0,165,13.894423848101269,17.632088189873418,19.2092874556962,20.557939025316454,18.49772092405063,0.27848101265822783,18.127309177215196,0.0,0.0,0.1871681265822785,4.884140721518988,0
45573,1,2,4,3,2,72.0,944.569746,225.0,2662.3993720000008,0.0,0.0,774,14.810420859999999,14.14358656,15.287971679999998,20.264698459999998,17.991469300000002,0.32,14.515467739999997,0.42443496000000003,2.6283179999999997,0.0,10.090673159999998,1
5556,1,2,4,3,2,144.0,1931.8786690000006,300.0,3711.0669910000006,1.0,14.589572,616,11.657942400000001,11.4189248,19.5626102,19.54569,17.2447744,0.0,15.322457199999999,0.0,0.0,0.0,0.0,0
2779,1,2,3,1,1,160.0,1893.5786600000015,388.0,4337.1514300000035,0.0,0.0,1210,0.0,0.0,17.501542812499977,19.882227650000004,17.190874675000007,0.15,0.25804503749999996,0.0,0.0,4.493728487499999,0.24964088749999996,0
2721,1,2,3,3,1,95.0,1144.5052220000002,177.0,1934.743611,0.0,0.0,1704,13.846472933333331,10.290259266666668,20.664417999999984,14.83224246666666,15.039515088888887,1.5333333333333334,2.2335982000000003,0.0,0.0,0.0,19.971270999999998,1
3592,1,2,4,1,4,204.0,2346.068583,389.0,3914.8125130000044,1.0,14.449810000000001,80,0.0,0.0,19.460445,18.999751,16.6993645,0.25,0.0,0.0,0.0,0.0,0.0,0
40053,1,2,2,1,1,388.0,4917.974488999997,872.0,9868.714422000001,3.0,37.667383,1200,14.69433090909091,15.465263636363636,20.520253181818177,20.18539609090909,18.570354,1.1818181818181819,12.457372727272729,0.0,3.028370090909091,0.0,16.551604454545455,0
25348,1,4,4,3,2,99.0,1139.2063609999993,249.0,2553.202190000002,0.0,0.0,300,18.549753927536234,16.795496405797106,19.4491742173913,19.145468884057973,16.85095584057971,0.0,16.927771971014494,0.0,4.469071347826087,0.0,18.680271260869567,0
11613,1,4,2,1,3,474.0,6646.627822999981,459.0,6397.861118999987,0.0,0.0,192,6.627984666666667,8.734469047619047,9.734616142857144,16.016830142857145,15.314661714285714,0.7142857142857143,10.272033571428572,2.5800922857142856,1.8575237619047618,2.884942333333333,9.503567142857142,0
2288,1,2,3,3,3,268.0,3704.838165000001,447.0,5705.961751000001,0.0,0.0,1140,12.886247394736841,15.938513078947366,17.682210394736835,16.68549802631579,14.715384789473681,1.2105263157894737,18.23420855263158,0.0,0.0,0.0,0.0,0
3806,1,2,2,1,3,112.0,1477.9938370000002,351.0,3922.920480000004,0.0,0.0,1848,14.21712548469387,12.469560178571427,14.774869362244921,19.867893326530652,18.12189638775512,0.17857142857142858,13.563354428571415,0.0,0.12942572448979592,1.6598747142857146,9.431241688775504,0
3051,1,2,3,3,2,226.0,3034.217595000002,644.0,6947.778027000032,0.0,0.0,1980,0.0,0.0,0.0,16.67324075,16.1653496,0.0,0.0,0.0,0.0,0.0,0.0,0
18373,1,2,3,1,2,217.0,2568.3852640000014,378.0,4188.384723000003,0.0,0.0,220,15.276259111111111,16.278363444444444,20.04828733333333,19.396133444444448,17.985491555555555,0.0,16.301119222222223,0.0,0.0,3.9002438888888893,17.13610933333333,0
1967,1,2,3,1,4,46.0,540.8093929999999,100.0,1016.2789730000002,0.0,0.0,494,16.639649118279564,16.127254344086023,18.75578599999998,19.566108354838704,18.176385860215046,2.5483870967741935,17.79761272043011,6.196258903225804,13.957605193548385,0.0,18.36076626881722,0
6025,1,2,3,3,4,183.0,2591.732195000001,323.0,4169.543820000001,11.0,161.34535300000002,260,18.29206478947368,18.263737078947376,16.181840026315786,20.427858789473685,17.99910581578947,0.2894736842105263,15.50228244736842,0.0,1.4128707631578947,0.0,8.061144289473685,0
2254,1,2,4,1,4,252.0,3389.7595640000027,672.0,8169.259633999993,0.0,0.0,976,14.066319394366198,12.941859014084507,16.79426064788733,17.650567661971834,15.49624390140845,1.8028169014084507,5.956638098591548,0.0,0.0,0.0,4.913729957746477,0
19586,1,2,4,1,1,490.0,6505.337397999999,793.0,9273.431070999999,1.0,14.449810000000001,1215,11.914525904761906,11.332832190476191,14.24770385714286,20.349863333333335,18.556991857142854,1.0,13.304123809523809,0.9718114761904763,9.580282952380953,0.0,13.983647857142858,0
1541,1,2,4,1,3,342.0,4336.741398999997,800.0,9020.406925000001,1.0,11.433886,320,9.75361837931034,10.987947827586208,18.409315844827585,15.298803241379305,15.492271758620687,1.4827586206896552,9.686334120689654,0.0,0.0,2.0217677586206895,7.439397568965515,0
19107,1,2,4,1,2,200.0,2534.737062000002,509.0,5720.182003999999,13.0,162.447426,640,0.0,6.1775009999999995,6.657090333333333,19.866443333333333,17.332935666666668,0.0,6.680552,0.0,0.0,0.0,0.0,0
28593,1,3,4,3,1,289.0,3776.1008830000033,1243.0,14201.388891999944,0.0,0.0,3859,15.303824911392399,12.615421949367084,20.37527579746836,20.07380408860758,17.978302329113937,1.0253164556962024,9.450420329113927,0.0,4.346517696202532,0.35221141772151904,14.433128936708862,0
13529,1,2,4,1,4,209.0,2411.537328,441.0,4589.5617340000035,8.0,111.62530000000001,1270,15.97203186486486,18.71554043243243,18.15627751351352,17.271751378378376,12.17297978378378,1.972972972972973,19.23574283783784,0.0,0.0,0.0,0.0,0
8239,1,2,3,1,3,126.0,1527.892344,277.0,3067.458199000003,2.0,30.664993,384,18.89077516831683,17.52444794059405,16.67495568316831,19.650474247524752,17.741866653465348,3.217821782178218,13.537304722772271,-0.7540984257425742,2.472133287128713,0.0,4.96268512871287,0
32379,1,2,3,3,4,44.0,473.46942599999994,57.0,654.346106,4.0,59.930223,1494,18.25573111363636,16.225588613636365,19.630458090909098,18.769490795454555,18.09960718181819,5.5,18.267527000000005,0.0,0.0,0.0,0.4265295,1
9835,1,2,4,1,1,278.0,3203.658974000001,637.0,7092.9318680000015,0.0,0.0,46,18.783470285714287,17.75272795238095,19.987293476190477,19.73535923809524,17.434568999999996,0.5714285714285714,18.892218428571425,0.0,0.0,0.0,0.0,1
2540,1,2,2,3,1,162.0,2316.6027609999996,440.0,5898.558819999994,0.0,0.0,630,11.095958160839162,0.9850406083916071,18.979995979020952,16.316861874125866,15.685102307692304,1.2447552447552448,15.40804426573427,0.0,2.205609454545455,0.0,9.37257975524475,0
11937,1,2,4,4,4,107.0,1424.6706590000006,274.0,3126.2589059999996,10.0,130.63517000000002,973,14.303356551470593,14.092750176470588,20.326303007352926,18.91038458823529,17.769780558823523,2.073529411764706,15.195218610294111,1.7192552794117648,1.2552293897058824,2.043352676470588,12.205352874999988,0
16036,1,4,3,1,1,340.0,4566.300529,1001.0,12007.407459999991,0.0,0.0,616,19.810724562499995,18.588563229166674,20.05698979166667,19.74471527083333,18.28239008333333,2.9166666666666665,0.0,0.0,0.0,0.0,18.560586812500013,0
47835,1,2,2,1,4,119.0,1452.850681000001,175.0,1996.6515290000018,0.0,0.0,198,0.0,0.0,0.0,19.813987,18.4675675,0.0,0.0,0.0,0.0,0.0,0.0,1
5267,1,2,4,4,2,101.0,1312.8541170000003,246.0,3135.5883910000034,14.0,192.00359499999996,560,16.15963975,16.032306333333334,20.337465916666662,19.494057916666666,17.529241083333332,1.75,3.41478925,0.0,0.9119390833333334,0.0,19.64431891666667,0
3216,1,2,4,1,2,83.0,1074.8004659999995,203.0,2345.615394000001,0.0,0.0,480,17.962659525,14.515014312500005,19.054979999999965,18.9207752875,16.2922044625,1.575,17.363937924999988,0.0,0.0,0.0,17.85100699999999,0
18375,1,2,2,3,3,39.0,492.7539720000001,61.0,829.3232529999998,0.0,0.0,2992,3.843888363636364,3.764008272727273,20.79044472727272,20.685044909090912,18.02242154545455,0.0,3.800640636363636,0.0,0.0,0.0,3.7571669090909086,0
28594,1,3,3,1,1,208.0,2901.2566440000005,398.0,4968.509164000001,0.0,0.0,825,10.16281895454546,12.662615590909088,15.720327481818188,15.81625804545454,15.218062090909095,0.19090909090909092,12.939446945454545,-0.19721851818181815,0.4832080636363637,0.0,12.970987836363634,0
3,1,4,4,1,4,172.0,2278.873445999999,507.0,4985.957607000013,0.0,0.0,342,18.366771,18.580174,18.361832999999997,18.348270499999998,16.0456505,2.0,18.5814115,0.0,0.0,0.0,0.0,0
3523,1,2,4,1,4,385.0,5639.708345999998,588.0,7814.700446999985,0.0,0.0,182,14.339444938144334,14.705011371134026,15.364297360824741,19.139712711340213,17.755834793814433,0.8865979381443299,9.078894371134023,1.5101931855670103,0.16619879381443298,0.7976416701030928,12.995306381443296,0
10317,1,2,3,3,1,702.0,10224.573912999973,1298.0,18207.502557999953,0.0,0.0,1536,13.774530999999998,14.124934076923077,15.843131346153847,13.861751961538461,11.764964346153846,0.8846153846153846,15.308204923076925,0.0,0.0,0.0,0.0,0
4,1,4,4,3,2,96.0,1164.3423839999998,195.0,2129.4257220000018,0.0,0.0,364,7.268065305555556,4.948698416666667,16.055204111111117,18.84739813888889,17.456999277777776,0.05555555555555555,7.313612805555555,0.0,0.0,1.014342361111111,7.808444583333334,1
27318,1,2,2,3,2,140.0,1749.7180260000007,567.0,5804.56519600001,0.0,0.0,2320,2.8372413333333335,10.701712666666666,19.556338999999998,9.314202,9.600503666666667,0.6666666666666666,11.597001666666666,0.0,4.769415666666666,0.0,18.863192,0
20890,1,2,3,1,4,108.0,1344.0082710000001,295.0,3260.7418170000046,6.0,79.84499500000001,620,17.741829120000006,16.288657279999995,6.69657024,17.727252560000004,15.796933120000006,1.2,14.986859200000005,0.0,8.804273360000005,0.0,0.0,0
1131,1,3,4,3,2,391.0,5808.902057000005,480.0,6362.006224000007,0.0,0.0,1010,15.056091508771924,16.97173549122807,19.97770535087719,18.33662033333333,16.58403056140351,2.0,11.576447385964912,0.0,0.0,3.003479140350878,6.144931947368419,0
2723,1,2,4,3,2,22.0,282.17856700000004,26.0,365.152574,0.0,0.0,344,16.89238142276423,16.542700991869914,16.890796528455265,20.200513869918705,17.882975520325207,0.18699186991869918,12.12216560975609,0.0,0.9873786260162601,2.6697147479674794,16.191000699186986,0
697,1,2,3,3,3,306.0,4441.700011000001,554.0,7126.808384999985,0.0,0.0,1080,13.53961301970443,13.872164167487686,16.43818420197041,18.22845109359605,16.920415546798033,0.9014778325123153,15.00873812807881,0.0,1.1245857536945814,1.6822715418719212,10.500955630541865,0
9837,1,2,3,1,2,34.0,396.85613099999983,71.0,811.7179689999998,18.0,239.366883,1104,6.500586666666667,20.271836333333336,0.0,5.370165999999998,11.598348999999999,5.333333333333333,19.94058133333333,0.0,4.322335666666667,0.0,0.0,1
2104,1,2,4,3,2,117.0,1567.8563259999996,285.0,3132.7024859999983,0.0,0.0,527,10.222827806451614,15.594498322580643,19.090574258064517,10.354241451612902,12.670921258064515,0.8387096774193549,18.760721225806453,-0.6423630322580646,3.454189967741936,0.0,15.582375193548385,0
4252,2,4,4,3,3,158.0,1847.8926920000008,424.0,4378.509856999998,0.0,0.0,810,9.143732870967744,8.947710290322581,19.96667932258065,19.451798677419355,17.928567064516123,0.7419354838709677,8.949911483870967,0.0,6.721213903225808,0.0,9.080950645161291,0
11939,1,2,4,1,2,49.0,570.125201,87.0,907.2299549999997,0.0,0.0,272,16.212177578124997,16.904329906249995,20.44727271874999,18.771422015625006,17.086536406249998,1.15625,0.0,0.0,0.0,0.0,17.469548578124996,0
46342,2,2,3,3,1,342.0,4213.054718000003,627.0,7128.815064000002,0.0,0.0,486,12.149065392638038,11.057826386503061,18.539297877300577,19.18838429447853,16.32574676073621,1.3680981595092025,12.869165907975457,0.0,0.0,0.4603073926380368,6.871606214723931,1
2477,1,2,3,1,4,129.0,1660.3069870000004,517.0,5555.2670380000045,0.0,0.0,282,4.846773967213115,5.0416280327868845,5.934974893442624,20.65860030327869,19.419319967213116,0.23770491803278687,5.430441819672131,1.124783655737705,1.8196063032786887,0.0,5.497604377049179,0
15603,1,2,2,2,1,83.0,1098.9910520000003,172.0,2241.5979630000024,28.0,385.729283,1890,18.772282500000006,15.966864192307694,11.504143000000001,20.378404961538465,19.135847807692308,3.4615384615384617,16.174558807692307,-1.3238877692307691,6.4955324999999995,0.0,11.130909923076924,0
2255,1,2,4,3,2,495.0,6729.221958999987,1250.0,15525.718168000029,25.0,356.451764,504,18.122779222222224,17.970398333333335,21.662994999999995,20.41421655555556,18.20226588888889,4.555555555555555,20.478158666666666,0.0,0.0,0.0,7.044807,0
47838,2,2,2,1,4,350.0,3927.8987570000013,706.0,7675.941731000003,4.0,49.148551000000005,180,7.081464177777778,6.431181711111112,11.311922799999998,15.382669844444445,15.232945911111115,0.4666666666666667,9.626052199999998,-1.6600735555555552,1.3095344,0.0,3.3672150666666667,0
38591,2,2,3,3,1,380.0,4848.452846999999,777.0,9297.690625000008,1.0,9.102413,512,13.929889666666668,12.042079000000001,15.335058,14.22486,13.295341222222225,3.5555555555555554,11.872175111111112,0.0,0.0,0.0,10.20101833333333,0
2758,2,2,3,1,2,240.0,2959.840314,570.0,6396.537016999997,0.0,0.0,245,18.602808176470585,16.51148323529412,19.83047811764706,21.083444264705886,18.36787038235294,1.3529411764705883,17.77566247058823,0.0,0.0,0.0,18.697327058823518,0
26708,1,2,4,1,1,26.0,305.501785,39.0,464.0899600000001,0.0,0.0,1482,16.68089846341463,16.332492621951218,19.032617890243916,19.600490012195117,17.868722158536578,2.3658536585365852,6.899841280487806,0.0,0.0,0.0,12.369418536585359,0
1269,2,2,4,1,3,67.0,762.6470800000002,229.0,2506.810955000001,0.0,0.0,507,13.467822000000002,14.946054176470586,10.454890764705885,14.453374058823533,13.571919823529411,0.7647058823529411,4.42881294117647,0.0,0.0,0.0,9.069344500000001,0
38592,1,2,2,1,3,24.0,275.795943,43.0,476.689999,0.0,0.0,3232,8.427298173913044,9.889781869565217,12.631879913043477,19.773943043478262,17.71108973913044,1.9565217391304348,7.253193130434783,0.5981158260869566,4.243426217391304,0.0,12.209964304347826,0
12281,1,4,4,1,3,143.0,1986.4675510000018,396.0,4963.4205080000065,18.0,253.59407800000002,256,20.62634325,19.49647,20.664417999999998,20.64444175,18.48218675,2.75,0.0,0.0,0.0,0.0,19.971270999999998,0
